Number: 1, Type: 2d, Grid Ref: TQ5091487335, Longitude: 51.564705, Latitude: 0.175926, Distance: 30.15
Number: 2, Type: 2, Grid Ref: TQ4982187070, Longitude: 51.562615, Latitude: 0.160056, Distance: 29.09
Number: 3, Type: 4a, Grid Ref: TQ4897487830, Longitude: 51.569667, Latitude: 0.148167, Distance: 28.83
Number: 4, Type: 2d, Grid Ref: TQ4895788200, Longitude: 51.572996, Latitude: 0.148079, Distance: 29.04
Number: 5, Type: 2d, Grid Ref: TQ4804486532, Longitude: 51.558249, Latitude: 0.134212, Distance: 27.32
Number: 6, Type: 2, Grid Ref: TQ4882890747, Longitude: 51.595916, Latitude: 0.147298, Distance: 30.53
Number: 7, Type: 2d, Grid Ref: TQ4888491091, Longitude: 51.598992, Latitude: 0.148251, Distance: 30.80
Number: 8, Type: 2, Grid Ref: TQ4726093811, Longitude: 51.623858, Latitude: 0.125963, Distance: 31.51
Number: 9, Type: 2c, Grid Ref: TQ4589296282, Longitude: 51.646417, Latitude: 0.107244, Distance: 32.49
Number: 10, Type: 4c, Grid Ref: TQ4519997678, Longitude: 51.659139, Latitude: 0.097814, Distance: 33.18
Number: 11, Type: 2d, Grid Ref: TQ4457098370, Longitude: 51.665519, Latitude: 0.089013, Distance: 33.38
Number: 12, Type: 2c, Grid Ref: TQ4316499447, Longitude: 51.675557, Latitude: 0.069138, Distance: 33.52
Number: 13, Type: 2c, Grid Ref: TL4370100399, Longitude: 51.683974, Latitude: 0.07729, Distance: 34.61
Number: 14, Type: 2f, Grid Ref: TL4076604443, Longitude: 51.721055, Latitude: 0.036495, Distance: 36.82
Number: 15, Type: 2g, Grid Ref: TL4058304873, Longitude: 51.724965, Latitude: 0.034021, Distance: 37.14
Number: 16, Type: 2c, Grid Ref: TL3932203983, Longitude: 51.717282, Latitude: 0.015421, Distance: 35.83
Number: 18, Type: 2g, Grid Ref: TL3893204370, Longitude: 51.720856, Latitude: 0.009933, Distance: 36.04
Number: 19, Type: 2f, Grid Ref: TL3880504443, Longitude: 51.721543, Latitude: 0.008125, Distance: 36.06
Number: 20, Type: 1, Grid Ref: TL3725705017, Longitude: 51.727082, Latitude: -0.014045, Distance: 36.07
Number: 21, Type: 4c, Grid Ref: TL3685905126, Longitude: 51.728158, Latitude: -0.019761, Distance: 36.05
Number: 22, Type: 2*, Grid Ref: TL3648405231, Longitude: 51.729193, Latitude: -0.025147, Distance: 36.03
Number: 23, Type: 2c, Grid Ref: TL3429805782, Longitude: 51.734671, Latitude: -0.056567, Distance: 35.97
Number: 24, Type: 2h, Grid Ref: TL3227005766, Longitude: 51.735009, Latitude: -0.085924, Distance: 35.52
Number: 25, Type: 2c, Grid Ref: TL3081804672, Longitude: 51.725518, Latitude: -0.10735, Distance: 34.20
Number: 26, Type: 2*, Grid Ref: TL2709003424, Longitude: 51.71516, Latitude: -0.16175, Distance: 32.59
Number: 27, Type: 2c, Grid Ref: TL2705903196, Longitude: 51.713118, Latitude: -0.162282, Distance: 32.36
Number: 28, Type: 2c, Grid Ref: TL2609202116, Longitude: 51.703631, Latitude: -0.176661, Distance: 31.25
Number: 29, Type: 2c, Grid Ref: TL2604802138, Longitude: 51.703838, Latitude: -0.17729, Distance: 31.28
Number: 30, Type: 2c*, Grid Ref: TL2570202398, Longitude: 51.706252, Latitude: -0.1822, Distance: 31.53
Number: 31, Type: 4c, Grid Ref: TL2431702736, Longitude: 51.709598, Latitude: -0.202114, Distance: 31.90
Number: 33, Type: 2c, Grid Ref: TL2055404954, Longitude: 51.730353, Latitude: -0.255782, Distance: 34.47
Number: 34, Type: 2a**, Grid Ref: TL2064305781, Longitude: 51.737766, Latitude: -0.254208, Distance: 35.28
Number: 35, Type: 2a, Grid Ref: TL2059205818, Longitude: 51.738109, Latitude: -0.254934, Distance: 35.32
Number: 36, Type: 2z, Grid Ref: TL1985505923, Longitude: 51.739211, Latitude: -0.265566, Distance: 35.54
Number: 37, Type: 2c, Grid Ref: TL1819703678, Longitude: 51.719387, Latitude: -0.290326, Distance: 33.65
Number: 38, Type: 2c, Grid Ref: TL1755803216, Longitude: 51.715369, Latitude: -0.299728, Distance: 33.35
Number: 39, Type: 2e, Grid Ref: TL1720402305, Longitude: 51.707256, Latitude: -0.305156, Distance: 32.56
Number: 40, Type: 2c, Grid Ref: TL1740702486, Longitude: 51.70884, Latitude: -0.302159, Distance: 32.68
Number: 41, Type: 2e, Grid Ref: TL1764001434, Longitude: 51.699336, Latitude: -0.299142, Distance: 31.61
Number: 42, Type: 5, Grid Ref: TL1605600736, Longitude: 51.693393, Latitude: -0.322285, Distance: 31.38
Number: 43, Type: 2c, Grid Ref: TL1604400734, Longitude: 51.693377, Latitude: -0.322459, Distance: 31.38
Number: 44, Type: 2c, Grid Ref: TL1627400073, Longitude: 51.687389, Latitude: -0.319352, Distance: 30.68
Number: 45, Type: 4b, Grid Ref: TQ1164396578, Longitude: 51.656916, Latitude: -0.387431, Distance: 29.29
Number: 46, Type: 2a, Grid Ref: TQ1161596252, Longitude: 51.653992, Latitude: -0.38794, Distance: 29.02
Number: 47, Type: 2*, Grid Ref: TQ1102896393, Longitude: 51.655375, Latitude: -0.396377, Distance: 29.43
Number: 48, Type: 2c, Grid Ref: TQ1101996382, Longitude: 51.655278, Latitude: -0.396511, Distance: 29.42
Number: 49, Type: 2e, Grid Ref: TQ1307292575, Longitude: 51.620652, Latitude: -0.368075, Distance: 25.10
Number: 50, Type: 5, Grid Ref: TQ1233892233, Longitude: 51.617725, Latitude: -0.378783, Distance: 25.18
Number: 51, Type: 2e*, Grid Ref: TQ1060791690, Longitude: 51.613187, Latitude: -0.403946, Distance: 25.70
Number: 52, Type: 5, Grid Ref: TQ0917692069, Longitude: 51.616873, Latitude: -0.424487, Distance: 26.86
Number: 53, Type: 2e, Grid Ref: TQ0869792205, Longitude: 51.618187, Latitude: -0.431361, Distance: 27.26
Number: 54, Type: 2e, Grid Ref: TQ0836092324, Longitude: 51.619322, Latitude: -0.43619, Distance: 27.57
Number: 55, Type: 2e, Grid Ref: TQ0784192336, Longitude: 51.619529, Latitude: -0.44368, Distance: 27.90
Number: 57, Type: 2e, Grid Ref: TQ0656191697, Longitude: 51.614029, Latitude: -0.462356, Distance: 28.27
Number: 58, Type: 2e, Grid Ref: TQ0583892242, Longitude: 51.619064, Latitude: -0.472629, Distance: 29.16
Number: 59, Type: 2e, Grid Ref: TQ0516992801, Longitude: 51.624213, Latitude: -0.482121, Distance: 30.02
Number: 60, Type: 1, Grid Ref: TQ0466593220, Longitude: 51.628073, Latitude: -0.489274, Distance: 30.67
Number: 61, Type: 2e, Grid Ref: TQ0435093501, Longitude: 51.630657, Latitude: -0.493739, Distance: 31.09
Number: 62, Type: 2, Grid Ref: TQ0404693538, Longitude: 51.631046, Latitude: -0.498119, Distance: 31.33
Number: 63, Type: 3a, Grid Ref: TQ3256083537, Longitude: 51.535184, Latitude: -0.090136, Distance: 14.43
Number: 64, Type: 2e, Grid Ref: TQ0467688045, Longitude: 51.581557, Latitude: -0.490658, Distance: 27.12
Number: 65, Type: 3b, Grid Ref: TQ0510884620, Longitude: 51.550691, Latitude: -0.485449, Distance: 24.73
Number: 66, Type: 2e, Grid Ref: TQ0460483517, Longitude: 51.540871, Latitude: -0.493043, Distance: 24.57
Number: 67, Type: 2*, Grid Ref: TQ0492482226, Longitude: 51.529207, Latitude: -0.488815, Distance: 23.65
